,Name,Year,Genre,Main Cast,Sinopsis,Score,Content Rating,Genre,Network,img url,Episode
0,Move to Heaven,2021,"Life, Drama","Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik","Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family. When Geu Roo\s father dies, Geu Roo\s guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father\s will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in. Adapted from the nonfiction essay ""Things Left Behind"" by professional trauma cleaner Kim Sae Byul., Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in. Adapted from the nonfiction essay ""Things Left Behind"" by professional trauma cleaner Kim Sae Byul.",9.2,18+ Restricted (violence & profanity),"Uncle-Nephew Relationship,, Autism,, Death,, Savant Syndrome,, Mourning,, Tearjerker,, Life Lesson,, Cleaning And Organizing,, Autism Spectrum Disorder,, Murder",Netflix,https://i.mydramalist.com/Rle36_4c.jpg?v=1,10 episodes
1,Weak Hero Class 1,2022,"Action, Youth, Drama","Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho","Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. Adapted from the webtoon “Weak Hero” () written by SeoPass () and illustrated by Kim Jin Seok (). ",9.1,18+ Restricted (violence & profanity),"Smart Male Lead,, Bromance,, School Bullying,, Violence,, Friendship,, High School,, Skilled Fighter,, Adapted From A Webtoon,, School Setting,, Fight","Wavve, iQIYI, Viki",https://i.mydramalist.com/pq2lr_4c.jpg?v=1,8 episodes
2,Hospital Playlist Season 2,2021,"Romance, Life, Drama, Medical","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist. ,",9.1,15+ - Teens 15 or older,"Multiple Mains,, Band,, Music,, Strong Female Lead,, Multiple Couples,, Comedy,, Smart Female Lead,, Bromance,, Cardiovascular Disease,, Workplace Setting","TVING, Netflix",https://i.mydramalist.com/dKY0d_4c.jpg?v=1,12 episodes
3,Flower of Evil,2020,"Thriller, Romance, Crime, Melodrama","Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak","Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her. , begins to wonder if he could possibly be hiding something from her. ",9.1,15+ - Teens 15 or older,"Deception,, Family Secret,, Mystery,, Suspense,, Smart Female Lead,, Hidden Personality,, Antisocial Personality Disorder,, Investigation,, Murder,, Hidden Identity","Prime Video, Apple TV, Viki, Netflix",https://i.mydramalist.com/WAEAp_4c.jpg?v=1,16 episodes
4,Hospital Playlist,2020,"Romance, Life, Drama, Medical","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin","""The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someones life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together. "", Naver || Translation = YeoNiverse at MyDramaList)",9.1,15+ - Teens 15 or older,"Nice Male Lead,, Multiple Mains,, Slow Romance,, Multiple Couples,, Strong Female Lead,, Slight Romance,, Nice Female Lead,, Bromance,, Heartfelt,, Healing",Netflix,https://i.mydramalist.com/RXXL6_4c.jpg?v=1,12 episodes
5,Alchemy of Souls,2022,"Action, Historical, Romance, Fantasy","Lee Jae Wook, Jung So Min, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra","Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies. It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk\s servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny. , "" Uks servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny. """,9.1,15+ - Teens 15 or older,"Transmigration,, Strong Female Lead,, Master-Disciple Relationship,, Kind Male Lead,, Multiple Mains,, Supernatural,, Magical Power,, Hidden Identity,, Body Swap,, Elemental Power",Netflix,https://i.mydramalist.com/Beg4z_4c.jpg?v=1,20 episodes
6,Reply 1988,2015,"Comedy, Romance, Life, Youth","Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? , Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? ",9.1,15+ - Teens 15 or older,"Nostalgia,, Multiple Couples,, Poor Family,, Love Triangle,, Heartfelt,, High School,, Friendship,, Mother-Son Relationship,, Coming Of Age,, Bromance","WeTV, Netflix, Prime Video, Tubi, Apple TV, iQIYI, Viki",https://i.mydramalist.com/EVe0p_4c.jpg?v=1,20 episodes
7,My Mister,2018,"Psychological, Life, Drama","Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min","""Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior. Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hoons company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers struggle to get back on their feet and the companys internal rivalry between the companys CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him. "", "" the incident. Ji An is a young part-time worker at Dong Hoons company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers struggle to get back on their feet and the companys internal rivalry between the companys CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him. """,9,15+ - Teens 15 or older,"Nice Male Lead,, Depression,, Healing,, Poor Female Lead,, Strong Female Lead,, Infidelity,, Lying,, Power Struggle,, Deception,, Grandma-Granddaughter Relationship","Apple TV, iQIYI, Viki, WeTV, Netflix",https://i.mydramalist.com/2lb8k_4c.jpg?v=1,16 episodes
8,Under the Queen's Umbrella,2022,"Historical, Comedy, Drama, Political","Kim Hye Soo, Kim Hae Sook, Choi Won Young, Kim Eui Sung, Moon Sang Min, Ok Ja Yeon","Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper\xa0crown princes. Their mother, Im Hwa Ryeong, is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered\xa0queen. Once more serene, she changed since people kept pushing her buttons. She\xa0is a queen who sometimes abandons her pride and\xa0is even known to swear! Every day of her life is full of trials, but she withstands them all, for the sake of her children. , and\xa0is even known to swear! Every day of her life is full of trials, but she withstands them all, for the sake of her children. ",9,15+ - Teens 15 or older,"Motherhood,, Mother-Son Relationship,, Palace Setting,, Black Comedy,, Queen Female Lead,, Joseon Dynasty,, Royal Family,, Royalty,, Historical Fiction,, Prince Supporting Character",Netflix,https://i.mydramalist.com/xZNgy_4c.jpg?v=1,16 episodes
9,The Glory Part 2,2023,"Thriller, Drama, Melodrama","Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il","""Moon Dong Euns silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals. "", revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals. ",9,18+ Restricted (violence & profanity),"Revenge,, Strong Female Lead,, Graphic Violence,, Brief Nudity,, Suspense,, Slight Romance,, Badass Female Lead,, Hardworking Female Lead,, Doctor Male Lead,, Scheme",Netflix,https://i.mydramalist.com/vXjLPq_4c.jpg?v=1,8 episodes
